ID,Product,Tone,Target Audience,Script/Quote,Suggested Visual
1,Unimate,Morning Routine,Busy Moms,"Start the day right. ☀️ While the house is chaotic, my mood doesn't have to be. Unimate helps me find my center before the morning rush begins. No jitters, just clarity. #MorningRitual #MomLife",Video: Pouring hot water over Unimate sachet in a favorite mug.
2,Unimate,Educational,Biohackers,"Did you know? Unimate contains up to 375x more chlorogenic acids than standard yerba mate. That means premium mental focus and metabolic support without the sugar crash found in energy drinks. 🧠📉 #Biohacking #MetabolicHealth",Graphic: Bar chart comparing Unimate to regular tea.
3,Unimate,High Energy,Gym Goers,"Pre-workout fuel that hits different. 💥 Clean energy, laser focus, and zero crash. It’s not just about waking up; it’s about powering through. Who else loves a Lemon Ginger lift before lifting? 🍋🏋️‍♂️ #GymLife #CleanEnergy",Photo: Holding an iced Unimate bottle at the gym.
4,Unimate,Motivational,Entrepreneurs,"Quote: ""Focus is the new currency."" 💡 Protect your mental clarity like your business depends on it. My secret weapon for deep work sessions? Unimate. #Hustle #Focus",Text Overlay: Quote on a minimalist background.
5,Unimate,Lifestyle,Students,"3 PM slump? Cancelled. 🚫 Instead of a third coffee that leaves me anxious, I'm sipping on Unimate. Keeps the brain fog away so I can actually finish this study session. 📚✨ #StudyHacks #NoCrash",Video: Time-lapse of studying with Unimate on the desk.
6,Unimate,Fasting Support,Intermittent Fasters,"Breaking the fast? Not yet. ⏳ Unimate helps extend my fasting window by suppressing appetite and supporting ketone production. It makes waiting for that first meal effortless. #IntermittentFasting #FeelGreatSystem",Photo: Watch showing the time next to a Unimate packet.
7,Unimate,Humor,Corporate Workers,"My face when the meeting could have been an email: 😐 vs. My face when I have my Unimate: 🤩. Mood support is real, folks. #WorkLife #OfficeHumor",Reel: Split screen video showing 'Before' vs 'After' Unimate.
8,Unimate,Relaxed,Wellness Enthusiasts,"Sunday reset. 🧘‍♀️ Taking a moment to breathe and sip on warm Unimate. It supports a healthy mood and relaxation, making it the perfect self-care companion. #SelfCareSunday #MentalWellness",Photo: Cozy socks, book, and warm cup.
9,Unimate,Direct/Sales,General,"Why Unimate? ✅ No Sugar ✅ High Quality Yerba Mate ✅ Mental Clarity ✅ Metabolic Support. DM me 'FOCUS' to try a 30-day supply! 📩",Photo: Flat lay of Unimate sachets spilling out of the box.
10,Unimate,Testimonial,Skeptics,"""I didn't believe the hype until I tried it."" — The most common thing I hear! The mental clarity is something you have to feel to understand. Ready to feel great? #Unicity #Testimonial",Text Overlay: Review text on a brand color background.
11,Unimate,Educational,Nutrition Geeks,"Not all caffeine is created equal. The yerba mate in Unimate provides a smooth delivery of energy, unlike the spike-and-drop of coffee. It's about sustainability for your body. 🌿 #NutritionFacts #YerbaMate",Video: Talking head explaining the difference.
12,Unimate,Lifestyle,Travelers,"Jet lag who? ✈️ Unimate is my travel essential. Keeps me sharp and energized no matter what time zone I'm in. Don't leave home without it. #TravelHacks #Unicity",Photo: Unimate packet held up against an airplane window.
13,Unimate,Motivational,General,"Conquer the morning, conquer the day. 🚀 Start with a win. Shake up some Unimate and get moving. #MotivationMonday",Video: Shaking a bottle vigorously in slow motion.
14,Unimate,Fasting Support,Weight Management,"Hungry? Or just bored? 🤔 Unimate helps curb those random cravings so you can stick to your nutrition plan without the struggle. #Cravings #MetabolicHealth",Photo: Hand reaching for a snack but grabbing Unimate instead.
15,Unimate,Flavor Focus,General,"Hot or Cold? ❄️🔥 I love my Unimate Lemon Ginger iced in the summer and hot in the winter. How do you drink yours? Comment below! 👇",Photo: Split image showing iced version and hot version.
16,Unimate,Science,Health Conscious,"Supports healthy cholesterol levels already in the normal range. ✔️ Promotes ketones. ✔️ It's science, not magic. (But it feels like magic). ✨ #ScienceBased #FeelGreat",Graphic: Simple checklist with checkmarks.
17,Unimate,Lifestyle,Morning Commuters,"Traffic is terrible. My mood isn't. Thanks Unimate! 🚗💨 #CommuterLife #RoadRageCure",Selfie: In the car with a shaker bottle.
18,Unimate,Short Quote,General,"""Clear mind, full energy, can't lose."" 🌟 #UnimateVibes",Text Overlay: Bold typography over a lifestyle image.
19,Unimate,Routine,General,"Step 1 of the Feel Great System: Wake up and Unimate. It really is that simple to start supporting your metabolic health. 1️⃣ #Step1 #SimpleHealth",Video: 3-second clip of tearing open a packet.
20,Unimate,Social,Friends,"Replaced our coffee date with a Unimate walk. 🚶‍♀️👯‍♀️ Getting our steps in and feeling amazing. #Walking #HealthySocializing",Photo: Two friends holding Unimate bottles walking.
21,Unimate,Recovery,Fitness,"Post-lunch brain fog is real. Instead of a nap, I reach for Unimate. It resets my focus for the second half of the day. 🔄 #Productivity #NoNapNeeded",Video: Rubbing eyes, then drinking Unimate and smiling.
22,Unimate,Educational,General,"What is Mate? 🌿 It's a South American plant known for its adaptogenic properties. We just made it purer and more potent. #Herbal #NaturalEnergy",Photo: Close up of the powder texture.
23,Unimate,Lifestyle,Gamers/Coders,"Late night grind? 🌙 Stay sharp without the jittery hands. Perfect for coding marathons or gaming sessions. 🎮💻 #GamerFuel #DevLife",Photo: Unimate bottle next to a glowing keyboard.
24,Unimate,Minimalist,General,"Just the essentials. Water + Unimate. Simple is effective. 💧",Photo: Minimalist shot of a bottle on a white table.
25,Unimate,CTA,General,"Who wants a sample? 🙋‍♀️ I'm sending out info packs this week. Drop a 'ME' below if you want the details on the happy tea! 📦 #Sample #FreeInfo",Boomerang: Waving a Unimate packet.
26,Balance,Educational,Foodies,"Love carbs? Me too. 🍕 That's why I use Balance. The fiber matrix helps slow down the absorption of carbs, so I don't get that massive glucose spike. #CarbLover #Balance",Video: Sprinkling Balance into water with a pizza in the background.
27,Balance,Routine,General,"The 10-Minute Rule. 🕙 Drink Balance, wait 10-15 minutes, then eat. It allows the fiber to thicken and coat your stomach for maximum benefit. Timing is everything! #HealthHacks #Fiber",Graphic: A clock showing 10 minutes passing.
28,Balance,Lifestyle,Dining Out,"Never leave home without it. 👜 Balance is my restaurant companion. I enjoy my meal and know I'm supporting my blood sugar levels. #DiningOut #FoodFreedom",Photo: Taking a packet out of a purse/wallet at a restaurant.
29,Balance,Science,General,"It's not just fiber. It's a Biosphere Fiber Matrix with vitamins and minerals designed to support healthy cholesterol and glucose levels. 📉 It's smart supplementation. #Science #MetabolicHealth",Photo: Holding the sachet with the ingredients list visible (blurred).
30,Balance,Weight Management,General,"Satiety is key. 🔑 Balance keeps me feeling fuller for longer, so I don't go back for seconds (or thirds). It helps me listen to my body's actual hunger cues. #PortionControl #Satiety",Video: Pushing a plate away after a meal, looking satisfied.
31,Balance,Motivational,General,"Quote: ""Balance is not something you find, it's something you create."" ...and sometimes it's something you drink! 😉 #LifeBalance #HealthQuotes",Text Overlay: Quote on a nature background.
32,Balance,Testimonial,General,"""I used to crash after lunch. Now I have steady energy all afternoon."" Balance prevents that post-meal slump by managing how quickly your body processes food. ⚡ #EnergyStability #NoFoodComa",Video: Talking head testimonial.
33,Balance,Visual,General,"That Orange Color! 🍊 Tastes like a mild orange juice, works like a powerhouse. The easiest habit I've ever built. #Orange #DailyHabit",Photo: Bright orange liquid in a clear glass with ice.
34,Balance,Fasting,Intermittent Fasters,"The bridge to your fast. 🌉 Taking Balance with dinner helps keep me full, making it easier to start my fasting window and stick to it. #FastingTips #FeelGreatSystem",Graphic: An icon of a bridge connecting 'Dinner' to 'Breakfast'.
35,Balance,Educational,General,"Why Fiber? Most of us don't get enough. Balance fills that gap and supports gut health in the process. 🦠👍 #GutHealth #FiberGap",Photo: A bowl of vegetables vs. a packet of Balance.
36,Balance,Routine,Moms,"Mom hack: I can't always cook a perfect nutritious meal. But I CAN drink Balance before we eat. It's my nutritional safety net. 🕸️ #MomHacks #BusyLife",Selfie: Mom drinking Balance while kids eat in background.
37,Balance,Lifestyle,Travel,"Vacation calories don't count... just kidding, they do. 😂 But Balance helps me enjoy the local food without feeling heavy and sluggish afterwards. ✈️🍝 #TravelWell #FoodieTravel",Photo: Balance bottle in front of a landmark.
38,Balance,CTA,General,"Ready to ditch the dieting roller coaster? 🎢 Try the approach that focuses on adding nutrients, not restricting foods. DM 'BALANCE' for the video! 📲",Video: Hand making a 'stop' motion to the camera.
39,Balance,Holiday,General,"Holiday feasts are coming! 🦃 Don't panic. Just Balance. Enjoy the time with family and support your body simultaneously. #HolidayHealth #ThanksgivingPrep",Photo: Balance packet next to a festive table setting.
40,Balance,Educational,General,"Glucose spikes = Energy crashes. 📉 Balance helps smooth out the curve. It's about maintaining steady energy throughout the day. #GlucoseGoddess #Metabolism",Graphic: A spiky line graph vs. a smooth line graph.
41,Balance,Routine,General,"Shake. Wait. Eat. 🔄 The 3 steps to metabolic freedom. It doesn't get easier than this. #SimpleRoutine #HealthSteps",GIF: Looping gif of shaking the bottle.
42,Balance,Humor,General,"My relationship status? In a committed relationship with Balance. 💍 It treats me right and buys me dinner (sort of). #LoveIt #SupplementLife",Photo: Hugging a box of Balance.
